stock_code,corp_code,corp_name,period_key,report_nm,rcept_no,rcept_dt,is_correction,filing_sequence,chain_submission_count,status,http_status,file_bytes,sha256,zip_path,zip_member_count,zip_members,zip_extensions,instance_candidates,error
000030,00254045,우리은행,반기보고서 (2018.06),반기보고서 (2018.06),20180814002502,2018-08-14,False,1,2,error,,,,C:\code\portfolio_optimization\data\raw\dart\xbrl_pit\000030\반기보고서_(2018.06)\20180814_seq01_original_20180814002502.zip,,,,,"RuntimeError('XBRL ZIP이 아닙니다. rcept_no=20180814002502 status=014 message=파일이 존재하지 않습니다. body=b\'<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><result><status>014</status><message>\\xed\\x8c\\x8c\\xec\\x9d\\xbc\\xec\\x9d\\xb4 \\xec\\xa1\\xb4\\xec\\x9e\\xac\\xed\\x95\\x98\\xec\\xa7\\x80 \\xec\\x95\\x8a\\xec\\x8a\\xb5\\xeb\\x8b\\x88\\xeb\\x8b\\xa4.</message></result>\'')"
000030,00254045,우리은행,반기보고서 (2018.06),[기재정정]반기보고서 (2018.06),20181114001077,2018-11-14,True,2,2,error,,,,C:\code\portfolio_optimization\data\raw\dart\xbrl_pit\000030\반기보고서_(2018.06)\20181114_seq02_correction_20181114001077.zip,,,,,"RuntimeError('XBRL ZIP이 아닙니다. rcept_no=20181114001077 status=014 message=파일이 존재하지 않습니다. body=b\'<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><result><status>014</status><message>\\xed\\x8c\\x8c\\xec\\x9d\\xbc\\xec\\x9d\\xb4 \\xec\\xa1\\xb4\\xec\\x9e\\xac\\xed\\x95\\x98\\xec\\xa7\\x80 \\xec\\x95\\x8a\\xec\\x8a\\xb5\\xeb\\x8b\\x88\\xeb\\x8b\\xa4.</message></result>\'')"
000030,00254045,우리은행,반기보고서 (2020.06),반기보고서 (2020.06),20200814001294,2020-08-14,False,1,2,error,,,,C:\code\portfolio_optimization\data\raw\dart\xbrl_pit\000030\반기보고서_(2020.06)\20200814_seq01_original_20200814001294.zip,,,,,"RuntimeError('XBRL ZIP이 아닙니다. rcept_no=20200814001294 status=014 message=파일이 존재하지 않습니다. body=b\'<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><result><status>014</status><message>\\xed\\x8c\\x8c\\xec\\x9d\\xbc\\xec\\x9d\\xb4 \\xec\\xa1\\xb4\\xec\\x9e\\xac\\xed\\x95\\x98\\xec\\xa7\\x80 \\xec\\x95\\x8a\\xec\\x8a\\xb5\\xeb\\x8b\\x88\\xeb\\x8b\\xa4.</message></result>\'')"
000030,00254045,우리은행,반기보고서 (2020.06),[기재정정]반기보고서 (2020.06),20201211000425,2020-12-11,True,2,2,error,,,,C:\code\portfolio_optimization\data\raw\dart\xbrl_pit\000030\반기보고서_(2020.06)\20201211_seq02_correction_20201211000425.zip,,,,,"RuntimeError('XBRL ZIP이 아닙니다. rcept_no=20201211000425 status=014 message=파일이 존재하지 않습니다. body=b\'<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><result><status>014</status><message>\\xed\\x8c\\x8c\\xec\\x9d\\xbc\\xec\\x9d\\xb4 \\xec\\xa1\\xb4\\xec\\x9e\\xac\\xed\\x95\\x98\\xec\\xa7\\x80 \\xec\\x95\\x8a\\xec\\x8a\\xb5\\xeb\\x8b\\x88\\xeb\\x8b\\xa4.</message></result>\'')"
000030,00254045,우리은행,분기보고서 (2018.03),분기보고서 (2018.03),20180515002320,2018-05-15,False,1,2,error,,,,C:\code\portfolio_optimization\data\raw\dart\xbrl_pit\000030\분기보고서_(2018.03)\20180515_seq01_original_20180515002320.zip,,,,,"RuntimeError('XBRL ZIP이 아닙니다. rcept_no=20180515002320 status=014 message=파일이 존재하지 않습니다. body=b\'<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><result><status>014</status><message>\\xed\\x8c\\x8c\\xec\\x9d\\xbc\\xec\\x9d\\xb4 \\xec\\xa1\\xb4\\xec\\x9e\\xac\\xed\\x95\\x98\\xec\\xa7\\x80 \\xec\\x95\\x8a\\xec\\x8a\\xb5\\xeb\\x8b\\x88\\xeb\\x8b\\xa4.</message></result>\'')"
000030,00254045,우리은행,분기보고서 (2018.03),[기재정정]분기보고서 (2018.03),20181114001053,2018-11-14,True,2,2,error,,,,C:\code\portfolio_optimization\data\raw\dart\xbrl_pit\000030\분기보고서_(2018.03)\20181114_seq02_correction_20181114001053.zip,,,,,"RuntimeError('XBRL ZIP이 아닙니다. rcept_no=20181114001053 status=014 message=파일이 존재하지 않습니다. body=b\'<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><result><status>014</status><message>\\xed\\x8c\\x8c\\xec\\x9d\\xbc\\xec\\x9d\\xb4 \\xec\\xa1\\xb4\\xec\\x9e\\xac\\xed\\x95\\x98\\xec\\xa7\\x80 \\xec\\x95\\x8a\\xec\\x8a\\xb5\\xeb\\x8b\\x88\\xeb\\x8b\\xa4.</message></result>\'')"
000030,00254045,우리은행,분기보고서 (2019.09),분기보고서 (2019.09),20191114001424,2019-11-14,False,1,2,error,,,,C:\code\portfolio_optimization\data\raw\dart\xbrl_pit\000030\분기보고서_(2019.09)\20191114_seq01_original_20191114001424.zip,,,,,"RuntimeError('XBRL ZIP이 아닙니다. rcept_no=20191114001424 status=014 message=파일이 존재하지 않습니다. body=b\'<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><result><status>014</status><message>\\xed\\x8c\\x8c\\xec\\x9d\\xbc\\xec\\x9d\\xb4 \\xec\\xa1\\xb4\\xec\\x9e\\xac\\xed\\x95\\x98\\xec\\xa7\\x80 \\xec\\x95\\x8a\\xec\\x8a\\xb5\\xeb\\x8b\\x88\\xeb\\x8b\\xa4.</message></result>\'')"
000030,00254045,우리은행,분기보고서 (2019.09),[기재정정]분기보고서 (2019.09),20200123000582,2020-01-23,True,2,2,error,,,,C:\code\portfolio_optimization\data\raw\dart\xbrl_pit\000030\분기보고서_(2019.09)\20200123_seq02_correction_20200123000582.zip,,,,,"RuntimeError('XBRL ZIP이 아닙니다. rcept_no=20200123000582 status=014 message=파일이 존재하지 않습니다. body=b\'<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><result><status>014</status><message>\\xed\\x8c\\x8c\\xec\\x9d\\xbc\\xec\\x9d\\xb4 \\xec\\xa1\\xb4\\xec\\x9e\\xac\\xed\\x95\\x98\\xec\\xa7\\x80 \\xec\\x95\\x8a\\xec\\x8a\\xb5\\xeb\\x8b\\x88\\xeb\\x8b\\xa4.</message></result>\'')"
000030,00254045,우리은행,분기보고서 (2020.03),분기보고서 (2020.03),20200515002166,2020-05-15,False,1,2,error,,,,C:\code\portfolio_optimization\data\raw\dart\xbrl_pit\000030\분기보고서_(2020.03)\20200515_seq01_original_20200515002166.zip,,,,,"RuntimeError('XBRL ZIP이 아닙니다. rcept_no=20200515002166 status=014 message=파일이 존재하지 않습니다. body=b\'<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><result><status>014</status><message>\\xed\\x8c\\x8c\\xec\\x9d\\xbc\\xec\\x9d\\xb4 \\xec\\xa1\\xb4\\xec\\x9e\\xac\\xed\\x95\\x98\\xec\\xa7\\x80 \\xec\\x95\\x8a\\xec\\x8a\\xb5\\xeb\\x8b\\x88\\xeb\\x8b\\xa4.</message></result>\'')"
000030,00254045,우리은행,분기보고서 (2020.03),[기재정정]분기보고서 (2020.03),20201211000414,2020-12-11,True,2,2,error,,,,C:\code\portfolio_optimization\data\raw\dart\xbrl_pit\000030\분기보고서_(2020.03)\20201211_seq02_correction_20201211000414.zip,,,,,"RuntimeError('XBRL ZIP이 아닙니다. rcept_no=20201211000414 status=014 message=파일이 존재하지 않습니다. body=b\'<?xml version=""1.0"" encoding=""UTF-8"" standalone=""yes""?><result><status>014</status><message>\\xed\\x8c\\x8c\\xec\\x9d\\xbc\\xec\\x9d\\xb4 \\xec\\xa1\\xb4\\xec\\x9e\\xac\\xed\\x95\\x98\\xec\\xa7\\x80 \\xec\\x95\\x8a\\xec\\x8a\\xb5\\xeb\\x8b\\x88\\xeb\\x8b\\xa4.</message></result>\'')"
