previous_date,current_date,added_count,removed_count,changed
2018-02-28,2018-03-30,0,1,True
2018-03-30,2018-04-30,0,0,False
2018-04-30,2018-05-31,0,0,False
2018-05-31,2018-06-29,22,26,True
2018-06-29,2018-07-31,4,0,True
2018-07-31,2018-08-31,1,1,True
2018-08-31,2018-09-28,0,0,False
2018-09-28,2018-10-31,1,0,True
2018-10-31,2018-11-30,0,0,False
2018-11-30,2018-12-28,19,24,True
2018-12-28,2019-01-31,0,0,False
2019-01-31,2019-02-28,1,1,True
2019-02-28,2019-03-29,0,0,False
2019-03-29,2019-04-30,0,1,True
2019-04-30,2019-05-31,0,0,False
2019-05-31,2019-06-28,20,19,True
2019-06-28,2019-07-31,0,0,False
2019-07-31,2019-08-30,0,1,True
2019-08-30,2019-09-30,0,0,False
2019-09-30,2019-10-31,2,0,True
2019-10-31,2019-11-29,0,0,False
2019-11-29,2019-12-30,23,24,True
2019-12-30,2020-01-31,1,1,True
2020-01-31,2020-02-28,0,0,False
2020-02-28,2020-03-31,0,1,True
2020-03-31,2020-04-29,0,0,False
2020-04-29,2020-05-29,1,0,True
2020-05-29,2020-06-30,23,23,True
2020-06-30,2020-07-31,0,0,False
2020-07-31,2020-08-31,1,0,True
2020-08-31,2020-09-29,1,0,True
2020-09-29,2020-10-30,0,0,False
2020-10-30,2020-11-30,0,0,False
2020-11-30,2020-12-30,33,35,True
2020-12-30,2021-01-29,1,0,True
2021-01-29,2021-02-26,0,0,False
2021-02-26,2021-03-31,0,0,False
2021-03-31,2021-04-30,0,0,False
2021-04-30,2021-05-31,3,0,True
2021-05-31,2021-06-30,29,35,True
2021-06-30,2021-07-30,0,0,False
2021-07-30,2021-08-31,0,0,False
2021-08-31,2021-09-30,2,0,True
2021-09-30,2021-10-29,0,0,False
2021-10-29,2021-11-30,1,1,True
2021-11-30,2021-12-30,25,25,True
2021-12-30,2022-01-28,0,0,False
2022-01-28,2022-02-28,0,0,False
2022-02-28,2022-03-31,0,1,True
2022-03-31,2022-04-29,0,0,False
2022-04-29,2022-05-31,0,0,False
2022-05-31,2022-06-30,19,18,True
2022-06-30,2022-07-29,0,0,False
2022-07-29,2022-08-31,0,1,True
2022-08-31,2022-09-30,0,0,False
2022-09-30,2022-10-31,0,0,False
2022-10-31,2022-11-30,1,0,True
2022-11-30,2022-12-29,20,20,True
2022-12-29,2023-01-31,0,1,True
2023-01-31,2023-02-28,0,0,False
2023-02-28,2023-03-31,0,0,False
2023-03-31,2023-04-28,2,1,True
2023-04-28,2023-05-31,1,0,True
2023-05-31,2023-06-30,29,28,True
2023-06-30,2023-07-31,0,0,False
2023-07-31,2023-08-31,0,0,False
2023-08-31,2023-09-27,0,0,False
2023-09-27,2023-10-31,0,0,False
2023-10-31,2023-11-30,0,0,False
2023-11-30,2023-12-28,31,34,True
2023-12-28,2024-01-31,0,0,False
2024-01-31,2024-02-29,0,0,False
2024-02-29,2024-03-29,0,1,True
2024-03-29,2024-04-30,0,1,True
2024-04-30,2024-05-31,0,0,False
2024-05-31,2024-06-28,21,18,True
2024-06-28,2024-07-31,1,0,True
2024-07-31,2024-08-30,0,0,False
2024-08-30,2024-09-30,1,1,True
2024-09-30,2024-10-31,0,0,False
2024-10-31,2024-11-29,0,0,False
2024-11-29,2024-12-30,27,27,True
2024-12-30,2025-01-31,0,0,False
2025-01-31,2025-02-28,0,0,False
2025-02-28,2025-03-31,0,2,True
2025-03-31,2025-04-30,0,0,False
2025-04-30,2025-05-30,0,0,False
2025-05-30,2025-06-30,28,27,True
2025-06-30,2025-07-31,0,0,False
2025-07-31,2025-08-29,0,0,False
2025-08-29,2025-09-30,0,0,False
2025-09-30,2025-10-31,0,0,False
2025-10-31,2025-11-28,1,1,True
2025-11-28,2025-12-30,21,22,True
2025-12-30,2026-01-30,0,0,False
2026-01-30,2026-02-27,0,0,False
2026-02-27,2026-03-31,0,2,True
2026-03-31,2026-04-30,0,0,False
2026-04-30,2026-05-29,0,0,False
2026-05-29,2026-06-30,45,42,True
2026-06-30,2026-07-31,0,0,False
2026-07-31,2026-08-31,1,0,True
2026-08-31,2026-09-15,0,0,False
